,id,income,age,experience,married,house_ownership,car_ownership,profession,city,state,current_job_years,current_house_years,risk_flag,risk_flag_prob
89,90,1013313,32,16,1,2,0,26,64,25,10,12,0,0.0
90,91,7805855,44,10,1,2,1,29,90,0,10,14,0,0.0
91,92,7298829,59,16,1,2,0,39,44,20,3,13,0,0.0
92,93,3369187,59,3,1,2,1,45,297,22,3,14,0,0.40053906107033704
93,94,8301578,59,3,1,2,0,4,29,28,3,11,0,0.0
94,95,1169819,72,18,1,2,1,14,308,6,11,10,0,0.0
95,96,5535441,66,0,1,2,0,19,211,14,0,13,0,0.07812474157253563
96,97,9249971,69,4,1,2,0,37,221,20,4,14,0,0.0
97,98,486603,33,20,1,2,0,31,44,20,5,13,0,0.0
98,99,7505485,27,17,1,2,1,39,91,22,12,12,0,0.05954224916030779
99,100,4946039,60,0,1,2,0,23,162,28,0,10,0,0.19814966621064986
100,101,5620082,58,14,1,2,0,39,7,14,9,11,0,0.0
101,102,9120988,28,9,1,2,0,37,91,22,9,12,0,0.0
102,103,5829652,25,7,1,1,0,6,67,3,7,11,0,0.0
103,104,8141031,23,17,1,2,0,42,312,0,3,11,0,0.0
104,105,9758182,33,9,1,2,0,10,70,22,7,11,0,0.0
105,106,7053325,31,8,1,2,0,33,186,25,8,11,0,0.0
106,107,5090745,35,5,0,2,0,7,5,16,5,12,1,0.6073207882976801
107,108,6044767,60,12,1,2,1,21,73,22,10,13,0,0.0
108,109,1161306,32,5,1,2,0,40,72,0,5,10,0,0.0
109,110,9086933,55,7,1,2,0,0,255,25,7,13,0,0.0
110,111,3052236,70,0,1,2,1,41,137,2,0,10,0,0.0
111,112,2116651,55,18,1,2,1,27,285,23,12,14,0,0.0
112,113,7919486,36,12,1,2,0,45,293,22,8,12,1,0.5688336799220103
113,114,8773158,58,18,1,2,1,24,265,28,5,13,1,0.5351907867618109
114,115,2451457,31,9,0,2,0,39,64,25,9,12,0,0.0
115,116,9482759,67,19,1,2,0,40,168,28,12,12,1,0.6905824452406822
116,117,8797493,55,15,1,2,0,49,73,22,12,13,0,0.0
117,118,4330847,67,2,1,2,0,48,259,25,2,14,0,0.0
118,119,6467283,65,13,1,2,1,2,195,13,11,12,1,0.5233833402794698
119,120,1859505,60,7,1,2,0,17,258,17,7,11,0,0.0
120,121,1295939,43,6,1,2,1,19,11,20,6,14,0,0.0
121,122,8565626,23,8,1,2,0,17,68,14,6,11,0,0.12109905135125515
122,123,7982817,60,6,1,2,1,40,52,7,5,14,0,0.0
123,124,3318035,55,4,1,2,1,19,312,0,4,13,0,0.0
124,125,4089728,22,18,1,2,0,41,64,25,8,14,0,0.0
125,126,7278093,77,17,1,2,0,9,274,7,10,14,0,0.0
126,127,8639080,67,14,1,2,0,19,288,0,7,14,0,0.0
127,128,7479878,55,8,0,2,0,1,10,26,8,14,0,0.0
128,129,1796846,45,16,1,2,1,43,56,11,9,14,0,0.0
129,130,6820376,31,20,1,2,0,23,144,14,10,10,0,0.0
130,131,7213058,50,12,1,2,0,3,16,14,4,12,0,0.0
131,132,4560641,72,7,1,2,0,41,235,22,7,13,1,0.5185196903003253
132,133,8806392,61,5,0,2,0,43,102,10,5,13,0,0.0
133,134,2366869,27,7,0,0,1,0,176,0,7,10,0,0.0
134,135,7591621,41,6,1,1,0,4,136,25,3,14,1,0.545571147025427
135,136,1379217,23,4,1,2,0,11,132,2,4,14,0,0.10428277481541673
136,137,8692332,61,3,1,2,0,10,315,23,3,13,0,0.0
137,138,5830306,68,16,0,2,0,1,314,0,7,10,0,0.0
138,139,6720927,64,17,1,2,0,50,40,17,5,12,0,0.0
139,140,1696344,31,18,1,2,0,31,17,19,13,10,0,0.0
140,141,7714522,37,0,1,2,1,45,263,13,0,10,1,0.5927543590894568
141,142,3711307,22,20,1,2,1,20,220,18,10,12,0,0.40629841660117577
142,143,4560641,72,7,1,2,0,41,235,22,7,13,1,0.5185196903003253
143,144,6466990,37,13,1,2,0,47,72,0,6,14,0,0.0
144,145,9791368,76,15,1,2,1,42,269,13,3,11,0,0.17661699406579573
145,146,6448514,30,6,1,2,0,32,58,2,6,10,0,0.0
146,147,362328,25,14,1,2,0,17,238,25,8,12,0,0.0
147,148,6940796,46,17,1,2,0,1,51,14,9,11,0,0.4678469984517083
148,149,1852247,64,9,1,2,1,5,269,13,8,14,0,0.0805281383719348
149,150,6816106,31,20,1,2,1,44,0,0,11,14,0,0.0
150,151,9131685,72,13,1,0,0,13,243,6,13,10,0,0.0
151,152,9508412,36,0,1,2,0,12,142,0,0,10,0,0.0
152,153,9627539,56,2,1,2,1,18,309,25,2,13,0,0.0
153,154,4660756,78,0,1,2,1,37,188,25,0,12,0,0.0
154,155,3763002,27,2,1,2,1,13,257,22,2,10,0,0.14872286512929303
155,156,3318035,55,4,1,2,1,19,312,0,4,13,0,0.0
156,157,2907457,55,18,1,2,0,28,187,10,10,14,0,0.0
157,158,2632398,65,2,1,2,0,34,290,14,2,14,0,0.0
158,159,3714943,36,12,1,2,0,5,178,22,8,12,0,0.0
159,160,3304937,63,19,1,2,1,22,101,25,14,13,0,0.0
160,161,2570723,45,15,1,2,0,33,19,6,6,12,1,0.6796869539353352
161,162,7058393,68,11,1,2,0,29,225,7,11,11,0,0.0
162,163,9967854,33,9,1,2,0,15,131,14,5,13,0,0.0
163,164,2824175,54,0,1,2,0,8,265,28,0,10,0,0.0
164,165,233888,64,1,1,2,0,40,301,11,1,10,1,0.5900141825806916
165,166,354766,78,0,1,2,0,13,255,25,0,10,0,0.0
166,167,1259577,66,15,1,2,0,20,175,0,3,10,0,0.0
167,168,1716587,37,0,1,2,0,20,67,3,0,11,0,0.0
168,169,8442438,23,17,1,0,0,33,118,0,3,14,0,0.0
169,170,6947233,62,10,1,2,0,47,56,11,10,12,0,0.0
170,171,267827,28,10,1,2,1,6,169,22,3,10,0,0.0
171,172,448021,54,11,1,2,0,25,276,14,11,14,1,0.5413122267941809
172,173,4658830,45,11,1,2,1,13,18,25,8,10,0,0.4578306228129282
173,174,7515439,74,6,1,2,0,39,77,11,6,11,1,0.559705656955914
174,175,1705824,27,15,1,1,0,27,21,0,13,10,0,0.0
175,176,9103667,54,3,0,1,0,43,121,28,3,12,0,0.46102118138027054
176,177,5602315,50,12,1,2,0,20,191,23,11,14,0,0.3113909457703779
177,178,9259060,54,16,1,2,1,46,274,7,10,14,0,0.0
178,179,8398435,50,9,1,0,1,20,313,0,8,10,0,0.0
179,180,9516861,67,0,1,2,0,21,79,2,0,13,0,0.0
180,181,4375780,66,3,1,1,0,42,56,11,3,10,0,0.0
181,182,1867623,60,2,1,2,1,8,15,22,2,13,0,0.0
182,183,6845511,78,14,1,2,0,22,255,25,4,12,0,0.0
183,184,408434,34,8,1,2,1,7,285,23,4,12,0,0.0
184,185,9879257,35,8,1,2,1,47,128,20,4,10,0,0.0
185,186,2624615,66,4,1,2,1,13,313,0,4,12,0,0.0
186,187,2307412,57,7,1,2,0,41,24,14,5,14,0,0.0
187,188,7627512,44,14,1,2,0,9,305,14,5,13,0,0.0
188,189,2359728,66,14,1,2,0,29,313,0,3,14,0,0.0
189,190,4210306,59,7,1,2,0,10,35,19,7,11,0,0.10282835182514655
190,191,6373227,68,19,1,2,1,49,27,25,6,13,0,0.07998103147168124
191,192,681276,48,19,1,2,0,18,273,13,13,13,0,0.0
192,193,7302729,70,14,1,2,0,5,63,1,11,11,0,0.0
193,194,729340,57,13,1,2,0,30,78,27,13,10,0,0.0
194,195,3767057,33,20,1,2,0,35,303,11,6,11,0,0.41541773199083815
195,196,4543268,32,17,1,2,0,25,288,0,3,13,0,0.0
196,197,9221997,35,14,1,2,1,34,126,13,9,13,0,0.06903167268752441
197,198,8437491,22,2,1,2,0,29,92,25,2,14,1,0.8639627427913594
198,199,9544863,61,20,1,1,0,2,1,24,14,14,0,0.0
199,200,4273001,62,14,1,0,1,39,76,2,14,14,0,0.49860151255651247
200,201,5604441,66,4,1,2,1,10,141,6,4,11,0,0.06276093265573349
201,202,3269849,43,9,1,2,0,5,107,13,9,14,0,0.0
202,203,7429005,69,2,0,2,0,13,97,6,2,13,1,0.6678753964508727
203,204,3878753,36,0,1,2,0,10,165,20,0,10,0,0.04353425465575232
204,205,319857,78,20,1,2,0,16,164,4,9,13,0,0.15169916535813047
205,206,5695568,45,3,1,2,0,20,249,13,3,11,0,0.0
206,207,5737594,26,11,1,2,0,30,110,7,10,12,1,0.8013727573015859
207,208,8749318,21,15,0,2,1,36,102,10,4,14,0,0.0
208,209,289113,40,5,1,2,1,39,61,4,5,12,1,0.5060124159533783
209,210,3330944,52,7,1,0,0,6,291,22,7,10,0,0.0
210,211,408434,34,8,1,2,1,7,285,23,4,12,0,0.0
211,212,2699320,27,1,1,2,0,38,183,11,1,10,1,0.6630842888074712
212,213,2150637,62,18,1,2,1,30,214,5,10,10,0,0.0
213,214,9508412,36,0,1,2,0,12,142,0,0,10,0,0.0
214,215,5879597,46,17,1,2,0,27,35,19,9,11,0,0.0
215,216,9782912,63,7,1,2,0,43,163,12,6,10,0,0.11480770905201046
216,217,3602416,48,3,1,2,0,0,249,13,3,13,1,0.7830701820857264
217,218,7896776,26,12,1,2,0,33,149,23,9,14,0,0.0
218,219,1243869,22,17,1,2,0,49,271,1,9,10,0,0.17427914929471414
219,220,8295121,50,11,1,2,0,3,164,4,5,11,0,0.0
220,221,3351044,32,3,1,2,0,25,126,13,3,11,0,0.0
221,222,3115746,21,12,1,2,0,33,215,23,3,14,0,0.08401946232244083
222,223,7287661,58,4,1,2,1,46,311,22,4,14,0,0.16266105871188716
223,224,8812899,79,17,1,2,0,40,236,14,9,11,0,0.07416154383159942
224,225,2429683,43,20,1,2,0,23,272,28,14,11,1,0.6542746874872434
225,226,3884230,25,13,1,2,0,41,204,22,10,11,0,0.0
226,227,4668248,49,5,1,2,1,13,89,28,5,11,0,0.0633764783332508
227,228,5764547,21,8,1,2,0,36,294,12,7,10,0,0.0
228,229,3013661,71,3,1,1,0,6,158,5,3,14,0,0.0
229,230,4175765,79,3,1,2,0,37,201,11,3,13,1,0.5963485561071573
230,231,1134496,77,3,1,2,0,45,137,2,3,10,1,0.7717774593231557
231,232,5604484,51,14,1,2,0,26,270,20,4,13,1,0.6543481343985227
232,233,8415149,30,19,0,2,0,4,76,2,3,10,0,0.0
233,234,7596972,23,4,1,0,1,1,215,23,4,12,0,0.0
234,235,5090840,78,12,1,2,0,25,205,14,5,11,0,0.0
235,236,651491,61,6,1,2,1,0,66,2,4,12,0,0.14024275461101093
236,237,6653271,49,11,1,2,0,10,160,12,11,10,1,0.6500629005397095
237,238,1601803,40,1,1,2,0,10,41,2,1,10,0,0.0
238,239,3539122,28,11,1,2,0,48,8,12,4,13,1,0.8398830689629531
239,240,2712710,70,8,1,2,0,40,155,13,5,11,0,0.0
240,241,9142815,26,3,0,2,1,49,39,28,3,12,0,0.0
241,242,2304556,51,12,1,2,0,38,211,14,8,10,0,0.0
242,243,5143268,53,4,1,2,0,35,288,0,4,11,1,0.581912479159973
243,244,3468402,50,10,1,2,0,42,123,23,7,14,0,0.0
244,245,8631895,27,12,0,2,0,42,102,10,7,14,0,0.0
245,246,1273453,61,12,0,2,0,47,154,23,3,11,0,0.0
246,247,8280263,28,16,1,2,0,25,5,16,14,11,0,0.0
247,248,4913009,65,20,1,2,1,43,242,0,4,12,0,0.0
248,249,3753824,28,7,1,2,0,34,199,25,7,11,0,0.0
249,250,181528,39,17,1,2,0,19,113,2,3,12,0,0.13571341067634698
250,251,4973814,24,19,1,2,0,14,17,19,6,12,1,0.7877893618453281
251,252,1434051,67,18,1,2,0,40,159,2,10,13,0,0.0
252,253,9165973,37,14,1,0,1,16,22,2,11,11,0,0.0
253,254,6083790,31,5,1,2,0,37,254,13,4,11,0,0.0
254,255,5865707,76,3,1,2,0,41,139,20,3,13,0,0.0
255,256,1088718,60,5,1,2,1,46,289,1,5,10,0,0.0
256,257,6864774,32,16,1,2,0,33,36,2,9,13,0,0.0
257,258,1542970,28,14,1,1,0,19,190,14,5,12,0,0.13876391904250643
258,259,1209322,41,10,1,2,1,39,57,28,10,13,0,0.0
259,260,7747070,28,16,1,2,0,5,213,0,9,12,0,0.11434128830823513
260,261,3432974,58,19,1,2,0,3,256,2,12,14,0,0.0
261,262,1967194,58,9,1,2,0,0,251,13,9,11,0,0.0
262,263,267925,76,12,0,2,0,39,29,28,6,12,0,0.10972756249231404
263,264,8683788,21,16,1,2,1,47,103,28,10,11,0,0.0
264,265,7797908,22,4,1,2,1,35,204,22,4,14,0,0.0
265,266,1528267,58,6,1,2,0,23,239,11,3,11,0,0.0
266,267,1955543,22,6,0,2,1,38,163,12,6,14,0,0.0
267,268,5951881,27,17,1,2,0,26,277,7,3,14,0,0.06245115627489038
268,269,4334000,36,4,1,2,0,39,40,17,4,11,0,0.0
269,270,8908371,25,16,1,2,0,8,111,1,7,11,0,0.0
270,271,4342058,26,4,1,2,1,49,216,25,4,10,0,0.0
271,272,2237433,65,19,1,2,0,15,36,2,7,12,0,0.0
272,273,5975878,56,17,0,2,0,23,151,2,6,11,0,0.0
273,274,4719877,74,15,1,2,0,11,264,23,11,10,0,0.0
274,275,173096,40,13,1,2,0,39,3,6,3,13,0,0.0
275,276,4145551,46,15,0,2,0,44,9,25,11,13,1,0.6262230254451181
276,277,1494586,63,20,1,2,1,23,208,0,3,11,0,0.0
277,278,5074140,61,18,1,2,0,1,253,17,14,12,0,0.0
278,279,2915439,62,0,0,2,1,46,302,20,0,13,0,0.0
279,280,1883575,49,16,1,2,1,48,134,6,14,12,0,0.0
280,281,5358407,22,3,1,2,0,43,120,22,3,10,0,0.0
281,282,3438381,46,6,1,2,0,50,155,13,6,12,0,0.0
282,283,3231341,47,6,0,2,0,41,160,12,6,14,1,0.6012082576699038
283,284,7648698,68,16,1,2,1,40,138,25,13,10,0,0.0
284,285,3632441,66,2,1,2,1,44,127,13,2,13,1,0.5145224773490188
285,286,5695568,45,3,1,2,0,20,249,13,3,11,0,0.0
286,287,5218820,76,14,1,1,0,11,149,23,12,14,0,0.0
287,288,5783146,51,18,1,2,0,40,72,0,7,12,0,0.0
288,289,7710303,41,12,1,2,1,12,196,2,4,14,0,0.0
289,290,6802871,54,20,1,2,1,29,142,0,7,13,0,0.0
290,291,2436593,54,19,1,2,0,24,137,2,6,13,0,0.0
291,292,6650638,47,19,1,2,1,47,19,6,12,13,0,0.0
292,293,9177752,45,16,1,2,0,24,80,5,10,13,0,0.10539264952552162
293,294,3369187,59,3,1,2,1,45,297,22,3,14,0,0.40053906107033704
294,295,8007036,56,14,1,1,0,6,158,5,4,13,0,0.0
295,296,7442529,57,6,1,2,1,8,256,2,5,10,1,0.503500853122777
296,297,2319807,79,20,1,2,0,9,239,11,9,10,0,0.0
297,298,9006540,79,14,1,2,0,30,188,25,13,11,0,0.40303109661970943
298,299,6414837,40,3,1,2,0,26,294,12,3,14,1,0.7661468110248044
299,300,8800769,29,4,1,2,0,34,310,14,4,12,1,0.6794425610151552
300,301,7783136,44,13,1,2,0,37,191,23,9,12,0,0.0
301,302,3460548,36,13,1,2,0,50,169,22,5,13,0,0.0
302,303,5764101,35,13,1,2,0,2,19,6,13,11,0,0.0
303,304,1148139,27,9,1,2,0,44,314,0,5,14,1,0.5885131823145948
304,305,4940114,43,8,1,2,0,20,168,28,8,10,1,0.7042819401258876
305,306,6357644,37,5,1,2,0,45,238,25,5,12,0,0.0
306,307,2368485,27,10,1,0,0,3,156,28,7,12,0,0.0
307,308,2363227,66,18,1,2,1,37,162,28,4,11,0,0.0
308,309,5130335,54,4,1,2,0,14,215,23,4,13,0,0.06727289715197636
309,310,3376799,24,6,1,2,0,13,193,25,6,13,0,0.0
310,311,4754357,25,0,1,2,0,30,233,18,0,12,0,0.0
311,312,7298077,35,2,1,2,0,25,51,14,2,13,0,0.1916452800636219
312,313,8936935,36,0,1,2,0,46,140,1,0,14,1,0.8169705048505463
313,314,2829317,46,13,1,2,0,37,227,14,7,11,0,0.0
314,315,9718890,56,13,1,0,0,8,234,0,8,14,0,0.0
315,316,8908371,25,16,1,2,0,8,111,1,7,11,0,0.0
316,317,6101750,64,4,1,2,1,40,54,17,4,11,1,0.5625429530125595
317,318,9635286,73,15,1,2,1,40,19,6,8,11,0,0.49963722818858486
318,319,2082678,27,2,1,2,0,49,111,1,2,10,0,0.0
319,320,2607689,26,17,1,2,1,27,10,26,8,11,0,0.08012766438386072
320,321,8784977,58,17,1,2,0,32,311,22,14,14,0,0.13083509195248988
321,322,8246613,61,8,1,2,0,39,285,23,8,12,0,0.0
322,323,7594168,29,15,1,2,0,22,196,2,5,12,0,0.211291717911247
323,324,4816881,59,19,1,2,0,24,263,13,11,10,1,0.6666918945562214
324,325,2116329,36,9,1,2,1,28,312,0,9,13,0,0.1318588647761301
325,326,555482,32,12,1,2,0,7,104,25,9,11,1,0.6985217789732888
326,327,8898785,67,10,1,2,0,19,295,1,10,12,0,0.0
327,328,4790996,62,16,1,2,1,14,196,2,10,11,0,0.0
328,329,1342829,49,13,1,2,0,10,297,22,8,11,0,0.07063692962768085
329,330,624985,47,11,1,2,0,43,309,25,6,11,1,0.6967277862486514
330,331,3521091,54,5,0,2,0,33,142,0,5,14,0,0.0
331,332,150879,77,0,1,0,1,30,247,25,0,12,0,0.0
332,333,3323452,76,18,1,2,1,40,189,6,14,13,0,0.0
333,334,3069692,47,19,1,0,0,43,282,5,5,11,0,0.0
334,335,249273,33,18,1,2,0,21,12,0,9,14,0,0.0
335,336,2299667,24,10,1,2,0,3,10,26,10,13,0,0.0
336,337,3287483,37,8,1,2,0,17,293,22,7,13,0,0.0
337,338,9768431,72,4,1,1,1,21,115,25,4,14,0,0.0
338,339,9238134,78,2,1,2,0,8,91,22,2,11,0,0.0
339,340,1329677,72,18,1,2,0,31,246,10,5,13,0,0.0704728205124893
340,341,8496659,59,12,1,2,0,3,149,23,8,12,0,0.0
341,342,6567922,23,20,1,0,1,44,23,28,13,13,0,0.15794641201337722
342,343,5931557,67,8,1,2,1,37,244,28,8,12,0,0.0
343,344,2810048,79,7,1,2,0,21,115,25,7,13,0,0.0
344,345,9241363,62,18,1,2,1,14,264,23,5,11,0,0.49846740591454197
345,346,5113329,59,3,1,2,0,34,273,13,3,14,0,0.1191727846641736
346,347,1909261,75,5,1,2,0,49,85,14,5,13,0,0.09341198652443108
347,348,1462736,43,13,1,2,0,41,6,20,12,12,0,0.169116490986444
348,349,2201037,21,13,1,2,1,46,64,25,13,13,0,0.1413812440783079
349,350,3367218,28,5,1,2,0,1,240,28,4,11,0,0.0
350,351,8458068,34,6,1,2,0,16,15,22,6,13,0,0.0
351,352,5498131,61,15,1,2,0,29,17,19,7,13,0,0.0
352,353,3053891,25,14,1,2,0,24,234,0,14,11,0,0.0
353,354,8356848,54,2,1,2,0,16,209,5,2,12,1,0.6067004754928657
354,355,2307924,51,15,1,2,1,22,2,25,6,13,0,0.0
355,356,9181312,31,5,1,2,0,2,85,14,5,13,1,0.5772307442210891
356,357,7727737,41,11,1,2,0,11,102,10,3,11,0,0.0
357,358,7710303,41,12,1,2,1,12,196,2,4,14,0,0.0
358,359,991107,34,14,0,2,1,18,256,2,7,10,0,0.0
359,360,4398916,35,6,1,2,1,13,46,6,4,11,0,0.0
360,361,5356329,48,18,1,0,0,38,186,25,10,13,0,0.0
361,362,4407294,73,20,1,2,0,6,283,6,7,12,0,0.0
362,363,8261806,70,6,1,2,0,27,183,11,6,11,0,0.0
363,364,8327839,63,2,1,0,0,36,252,7,2,14,0,0.12032754980970099
364,365,8658161,79,13,1,2,0,39,220,18,13,10,1,0.5712971515570047
365,366,8472760,73,10,1,2,0,40,261,2,10,10,0,0.13441610656031147
366,367,1625328,49,19,1,2,1,24,28,25,9,12,0,0.0
367,368,1765694,30,5,1,2,0,40,50,13,5,14,0,0.0
368,369,2049469,70,18,1,2,0,21,217,28,3,14,0,0.0822703643746473
369,370,8273187,69,0,1,2,0,4,241,4,0,14,0,0.0
370,371,3316209,30,13,1,2,0,13,128,20,13,12,0,0.0
371,372,4647997,42,18,0,2,0,32,74,17,5,12,0,0.0
372,373,1532701,79,2,1,2,0,27,115,25,2,12,0,0.0
373,374,3425481,62,14,1,2,1,11,271,1,12,12,0,0.0
374,375,9327951,26,15,1,2,1,8,58,2,14,11,0,0.2478992423181199
375,376,1172208,35,3,1,2,0,6,122,11,3,13,0,0.11587011685976753
376,377,5734501,38,14,1,2,0,18,30,11,8,12,0,0.0
377,378,830380,47,15,1,2,1,38,137,2,3,14,0,0.0
378,379,8853692,48,15,1,2,1,13,287,0,7,14,0,0.0
379,380,7675013,24,17,1,2,1,20,117,10,14,13,0,0.0
380,381,6329215,29,8,1,2,0,34,311,22,8,10,0,0.12914796022295627
381,382,8897752,24,3,1,2,0,3,237,2,3,10,0,0.0
382,383,7449317,38,4,1,2,1,36,49,0,4,10,0,0.0
383,384,7659758,43,3,1,2,0,24,231,10,3,13,0,0.09387835301167477
384,385,321358,78,17,1,2,0,16,11,20,9,13,1,0.7039494650181686
385,386,8451218,74,1,1,2,0,23,255,25,1,12,0,0.0
386,387,8007036,56,14,1,1,0,6,158,5,4,13,0,0.0
387,388,2047235,61,1,1,2,1,3,93,7,1,13,0,0.0
388,389,7189375,60,12,1,2,1,6,196,2,3,12,0,0.0
